"slug","md_exists","image_exists","csv_photo","image_filename"
"aburame-shioyaki","True","True","aburame-shioyaki.jpg","aburame-shioyaki.jpg"
"bat-tomato-omurice","True","True","bat-tomato-omurice.jpg","bat-tomato-omurice.jpg"
"beef-100-demi-hamburg","True","True","beef-100-demi-hamburg.jpg","beef-100-demi-hamburg.jpg"
"butter-seafood-pasta","True","True","butter-seafood-pasta.jpg","butter-seafood-pasta.jpg"
"cold-wakame-chinese","True","True","cold-wakame-chinese.jpg","cold-wakame-chinese.jpg"
"demi-meat-pasta","True","True","demi-meat-pasta.jpg","demi-meat-pasta.jpg"
"demi-omurice","True","True","demi-omurice.jpg","demi-omurice.jpg"
"hirame-zukedon","True","True","hirame-zukedon.jpg","hirame-zukedon.jpg"
"karei-miso-foil","True","True","karei-miso-foil.jpg","karei-miso-foil.jpg"
"karei-nitsuke","True","True","karei-nitsuke.jpg","karei-nitsuke.jpg"
"kenojiru-takikomi","True","True","kenojiru-takikomi.jpg","kenojiru-takikomi.jpg"
"liver-nira","True","True","liver-nira.jpg","liver-nira.jpg"
"madai-curry-foil","True","True","madai-curry-foil.jpg","madai-curry-foil.jpg"
"mapo-ramen","True","True","mapo-ramen.jpg","mapo-ramen.jpg"
"mebaru-nitsuke","True","True","mebaru-nitsuke.jpg","mebaru-nitsuke.jpg"
"mune-chicken-curry","True","True","mune-chicken-curry.jpg","mune-chicken-curry.jpg"
"mune-oyakodon","True","True","mune-oyakodon.jpg","mune-oyakodon.jpg"
"mune-soboro-don","True","True","mune-soboro-don.jpg","mune-soboro-don.jpg"
"oatmeal-apple-crumble","True","True","oatmeal-apple-crumble.jpg","oatmeal-apple-crumble.jpg"
"salt-sutadon","True","True","salt-sutadon.jpg","salt-sutadon.jpg"
"seafood-ankake-don","True","True","seafood-ankake-don.jpg","seafood-ankake-don.jpg"
"seafood-mushroom-curry","True","True","seafood-mushroom-curry.jpg","seafood-mushroom-curry.jpg"
"spicy-mapodofu","True","True","spicy-mapodofu.jpg","spicy-mapodofu.jpg"
"spicy-mune-tomato","True","True","spicy-mune-tomato.jpg","spicy-mune-tomato.jpg"
"taimeshi","True","True","taimeshi.jpg","taimeshi.jpg"
"tofu-hijiki-hamburg","True","True","tofu-hijiki-hamburg.jpg","tofu-hijiki-hamburg.jpg"
"yodare-dori","True","True","yodare-dori.jpg","yodare-dori.jpg"
