"file","current_photo_alt","suggested_photo_alt","current_og_description","suggested_og_description"
"beef-100-demi-hamburg.md","","デミソースをかけたハンバーグ","","生パン粉でジューシーに仕上げるデミハンバーグ。秒単位の火入れで肉汁を閉じ込め、濃厚なデミソースがよく合う。"
"cold-wakame-chinese.md","","おかわかめとオクラの冷やし中華風","","おかわかめとオクラを合わせた冷やし中華風の一皿。さっぱりした酸味と食感が夏にぴったりで栄養も豊富。"
"karei-miso-foil.md","","味噌だれで香ばしく焼いたカレイのホイル焼き","","味噌と白ごまで香ばしく仕上げるカレイのホイル焼き。玉ねぎとしめじの旨味が染み出し、ご飯が進む一品。"
"kenojiru-takikomi.md","","けの汁の水煮を加えた炊き込みご飯","","市販のけの汁の水煮を加えて旨味を補う炊き込みご飯。根菜と魚介の出汁が米に染み、ほっこりとした家庭の味に仕上がる。"
"liver-nira.md","","レバーとニラの炒め物","","仕込みでレバーを約30分牛乳に漬けて臭みを抜くレバニラ。野菜たっぷりで食べやすく、栄養バランスの良い一品。"
"madai-curry-foil.md","","カレー粉とバターで包んだ真鯛のホイル包み","","真鯛をカレー粉とバターで包んで焼くホイル包み。香り高く身はふっくら、ご飯やおつまみに合う風味豊かな一皿。"
"mune-chicken-curry.md","","むね肉のチキンカレー","","水を使わずトマト缶ベースで仕上げるむね肉のチキンカレー。スパイスの香りとトマトの旨味が染みる家庭向けレシピ。"
"mune-oyakodon.md","","むね肉の親子丼","","むね肉を使った軽めの親子丼。短時間で作れて朝食やランチにも向く、やさしい味わいの一品。"
"mune-soboro-don.md","","むね肉のそぼろ丼","","低脂質で甘辛のむね肉そぼろがご飯に合う一品。作り置きにも最適でお弁当にも便利。"
"oatmeal-apple-crumble.md","","オートミールのアップルクランブル","","オートミールで作るザクザクのクランブルにチョコチップを加えた軽めスイーツ。朝食やおやつにおすすめ。"
"salt-sutadon.md","","にんにく香る塩すた丼風の一皿","","にんにくと塩ダレでご飯が止まらないガッツリ系の塩すた丼風。短時間で満足感の高い一品。"
"seafood-ankake-don.md","","海鮮あんかけ丼の具材","","海鮮の旨味ととろみで満足感が高い海鮮あんかけ丼。ご飯にかけて熱々でどうぞ。"
"seafood-mushroom-curry.md","","シーフードときのこのカレー","","シーフードの旨味ときのこの香りが合わさる深い味わいのカレー。家族で楽しめる一皿。"
"spicy-mapodofu.md","","辛味と痺れの麻婆豆腐","","肉味噌が核の激辛麻婆豆腐。辛味と痺れのバランスでご飯が進む本格派の味。"
"spicy-mune-tomato.md","","スパイシーなむね肉のトマト煮","","トマトとスパイスで仕上げるむね肉のトマト煮。減量中でも満足できる、柔らかい仕上がり。"
"yodare-dori.md","","しっとり仕上げたよだれ鶏","","余熱でしっとり仕上げる鶏むね肉に香味ダレをかける中華の定番。冷やしても美味しい一品。"
